Time [s],Step1,Dir1,Step2,Dir2,In ISR,Cmd Load,FIFO empty,Dbg UART,Servo,Channel 9
2.705292360,0,0,1,0,0,0,0,0,0,0
2.705292440,0,0,0,0,0,0,0,0,0,0
2.705727760,1,0,0,0,0,0,0,0,0,0
2.705728000,1,0,1,0,0,0,0,0,0,0
2.705730760,0,0,1,0,0,0,0,0,0,0
2.705730840,0,0,0,0,0,0,0,0,0,0
2.706126320,1,0,0,0,0,0,0,0,0,0
2.706126600,1,0,1,0,0,0,0,0,0,0
2.706129320,0,0,1,0,0,0,0,0,0,0
2.706129400,0,0,0,0,0,0,0,0,0,0
2.706524920,1,0,0,0,0,0,0,0,0,0
2.706525160,1,0,1,0,0,0,0,0,0,0
2.706527920,0,0,1,0,0,0,0,0,0,0
2.706528000,0,0,0,0,0,0,0,0,0,0
2.706963320,1,0,0,0,0,0,0,0,0,0
2.706963560,1,0,1,0,0,0,0,0,0,0
2.706966320,0,0,1,0,0,0,0,0,0,0
2.706966400,0,0,0,0,0,0,0,0,0,0
2.707361840,1,0,0,0,0,0,0,0,0,0
2.707362120,1,0,1,0,0,0,0,0,0,0
2.707364840,0,0,1,0,0,0,0,0,0,0
2.707364920,0,0,0,0,0,0,0,0,0,0
2.707760360,1,0,0,0,0,0,0,0,0,0
2.707760600,1,0,1,0,0,0,0,0,0,0
2.707763360,0,0,1,0,0,0,0,0,0,0
2.707763440,0,0,0,0,0,0,0,0,0,0
2.707781560,0,0,0,0,0,0,0,0,1,0
2.708164000,1,0,0,0,0,0,0,0,1,0
2.708164240,1,0,1,0,0,0,0,0,1,0
2.708166960,0,0,1,0,0,0,0,0,1,0
2.708167040,0,0,0,0,0,0,0,0,1,0
2.708562520,1,0,0,0,0,0,0,0,1,0
2.708562800,1,0,1,0,0,0,0,0,1,0
2.708565520,0,0,1,0,0,0,0,0,1,0
2.708565600,0,0,0,0,0,0,0,0,1,0
2.709000920,1,0,0,0,0,0,0,0,1,0
2.709001200,1,0,1,0,0,0,0,0,1,0
2.709003920,0,0,1,0,0,0,0,0,1,0
2.709004000,0,0,0,0,0,0,0,0,1,0
2.709399480,1,0,0,0,0,0,0,0,1,0
2.709399720,1,0,1,0,0,0,0,0,1,0
2.709402480,0,0,1,0,0,0,0,0,1,0
2.709402560,0,0,0,0,0,0,0,0,1,0
2.709495480,0,0,0,0,0,0,0,0,0,0
2.709798040,1,0,0,0,0,0,0,0,0,0
2.709798280,1,0,1,0,0,0,0,0,0,0
2.709801000,0,0,1,0,0,0,0,0,0,0
2.709801120,0,0,0,0,0,0,0,0,0,0
2.710196560,1,0,0,0,0,0,0,0,0,0
2.710196800,1,0,1,0,0,0,0,0,0,0
2.710199560,0,0,1,0,0,0,0,0,0,0
2.710199640,0,0,0,0,0,0,0,0,0,0
2.710595080,1,0,0,0,0,0,0,0,0,0
2.710595360,1,0,1,0,0,0,0,0,0,0
2.710598080,0,0,1,0,0,0,0,0,0,0
2.710598160,0,0,0,0,0,0,0,0,0,0
2.710993640,1,0,0,0,0,0,0,0,0,0
2.710993880,1,0,1,0,0,0,0,0,0,0
2.710996640,0,0,1,0,0,0,0,0,0,0
2.710996720,0,0,0,0,0,0,0,0,0,0
2.711392160,1,0,0,0,0,0,0,0,0,0
2.711392440,1,0,1,0,0,0,0,0,0,0
2.711395160,0,0,1,0,0,0,0,0,0,0
2.711395240,0,0,0,0,0,0,0,0,0,0
2.711830600,1,0,0,0,0,0,0,0,0,0
2.711830840,1,0,1,0,0,0,0,0,0,0
2.711833600,0,0,1,0,0,0,0,0,0,0
2.711833680,0,0,0,0,0,0,0,0,0,0
2.712229160,1,0,0,0,0,0,0,0,0,0
2.712229400,1,0,1,0,0,0,0,0,0,0
2.712232160,0,0,1,0,0,0,0,0,0,0
2.712232240,0,0,0,0,0,0,0,0,0,0
2.712627680,1,0,0,0,0,0,0,0,0,0
2.712627920,1,0,1,0,0,0,0,0,0,0
2.712630680,0,0,1,0,0,0,0,0,0,0
2.712630760,0,0,0,0,0,0,0,0,0,0
2.713026240,1,0,0,0,0,0,0,0,0,0
2.713026480,1,0,1,0,0,0,0,0,0,0
2.713029240,0,0,1,0,0,0,0,0,0,0
2.713029320,0,0,0,0,0,0,0,0,0,0
2.713424800,1,0,0,0,0,0,0,0,0,0
2.713425040,1,0,1,0,0,0,0,0,0,0
2.713427800,0,0,1,0,0,0,0,0,0,0
2.713427880,0,0,0,0,0,0,0,0,0,0
2.713823360,1,0,0,0,0,0,0,0,0,0
2.713823640,1,0,1,0,0,0,0,0,0,0
2.713826360,0,0,1,0,0,0,0,0,0,0
2.713826440,0,0,0,0,0,0,0,0,0,0
2.714221920,1,0,0,0,0,0,0,0,0,0
2.714222160,1,0,1,0,0,0,0,0,0,0
2.714224920,0,0,1,0,0,0,0,0,0,0
2.714225000,0,0,0,0,0,0,0,0,0,0
2.714660320,1,0,0,0,0,0,0,0,0,0
2.714660560,1,0,1,0,0,0,0,0,0,0
2.714663320,0,0,1,0,0,0,0,0,0,0
2.714663400,0,0,0,0,0,0,0,0,0,0
2.715058840,1,0,0,0,0,0,0,0,0,0
2.715059080,1,0,1,0,0,0,0,0,0,0
2.715061840,0,0,1,0,0,0,0,0,0,0
2.715061920,0,0,0,0,0,0,0,0,0,0
2.715457400,1,0,0,0,0,0,0,0,0,0
2.715457640,1,0,1,0,0,0,0,0,0,0
2.715460360,0,0,1,0,0,0,0,0,0,0
2.715460440,0,0,0,0,0,0,0,0,0,0
2.715855920,1,0,0,0,0,0,0,0,0,0
2.715856160,1,0,1,0,0,0,0,0,0,0
2.715858920,0,0,1,0,0,0,0,0,0,0
2.715859000,0,0,0,0,0,0,0,0,0,0
2.716254440,1,0,0,0,0,0,0,0,0,0
2.716254720,1,0,1,0,0,0,0,0,0,0
2.716257440,0,0,1,0,0,0,0,0,0,0
2.716257520,0,0,0,0,0,0,0,0,0,0
2.716653000,1,0,0,0,0,0,0,0,0,0
2.716653240,1,0,1,0,0,0,0,0,0,0
2.716655960,0,0,1,0,0,0,0,0,0,0
2.716656040,0,0,0,0,0,0,0,0,0,0
2.717051520,1,0,0,0,0,0,0,0,0,0
2.717051760,1,0,1,0,0,0,0,0,0,0
2.717054520,0,0,1,0,0,0,0,0,0,0
2.717054600,0,0,0,0,0,0,0,0,0,0
2.717450040,1,0,0,0,0,0,0,0,0,0
2.717450280,1,0,1,0,0,0,0,0,0,0
2.717453040,0,0,1,0,0,0,0,0,0,0
2.717453120,0,0,0,0,0,0,0,0,0,0
2.717888400,1,0,0,0,0,0,0,0,0,0
2.717888680,1,0,1,0,0,0,0,0,0,0
2.717891400,0,0,1,0,0,0,0,0,0,0
2.717891480,0,0,0,0,0,0,0,0,0,0
2.718286960,1,0,0,0,0,0,0,0,0,0
2.718287200,1,0,1,0,0,0,0,0,0,0
2.718289920,0,0,1,0,0,0,0,0,0,0
2.718290000,0,0,0,0,0,0,0,0,0,0
2.718685480,1,0,0,0,0,0,0,0,0,0
2.718685720,1,0,1,0,0,0,0,0,0,0
2.718688440,0,0,1,0,0,0,0,0,0,0
2.718688520,0,0,0,0,0,0,0,0,0,0
2.719084000,1,0,0,0,0,0,0,0,0,0
2.719084240,1,0,1,0,0,0,0,0,0,0
2.719087000,0,0,1,0,0,0,0,0,0,0
2.719087080,0,0,0,0,0,0,0,0,0,0
2.719482560,1,0,0,0,0,0,0,0,0,0
2.719482800,1,0,1,0,0,0,0,0,0,0
2.719485520,0,0,1,0,0,0,0,0,0,0
2.719485600,0,0,0,0,0,0,0,0,0,0
2.719881080,1,0,0,0,0,0,0,0,0,0
2.719881320,1,0,1,0,0,0,0,0,0,0
2.719884080,0,0,1,0,0,0,0,0,0,0
2.719884160,0,0,0,0,0,0,0,0,0,0
2.720279600,1,0,0,0,0,0,0,0,0,0
2.720279880,1,0,1,0,0,0,0,0,0,0
2.720282600,0,0,1,0,0,0,0,0,0,0
2.720282680,0,0,0,0,0,0,0,0,0,0
2.720718000,1,0,0,0,0,0,0,0,0,0
2.720718240,1,0,1,0,0,0,0,0,0,0
2.720721000,0,0,1,0,0,0,0,0,0,0
2.720721080,0,0,0,0,0,0,0,0,0,0
2.721116520,1,0,0,0,0,0,0,0,0,0
2.721116800,1,0,1,0,0,0,0,0,0,0
2.721119520,0,0,1,0,0,0,0,0,0,0
2.721119600,0,0,0,0,0,0,0,0,0,0
2.721515120,1,0,0,0,0,0,0,0,0,0
2.721515360,1,0,1,0,0,0,0,0,0,0
2.721518080,0,0,1,0,0,0,0,0,0,0
2.721518200,0,0,0,0,0,0,0,0,0,0
2.721953480,1,0,0,0,0,0,0,0,0,0
2.721953720,1,0,1,0,0,0,0,0,0,0
2.721956480,0,0,1,0,0,0,0,0,0,0
2.721956560,0,0,0,0,0,0,0,0,0,0
2.722352000,1,0,0,0,0,0,0,0,0,0
2.722352240,1,0,1,0,0,0,0,0,0,0
2.722355000,0,0,1,0,0,0,0,0,0,0
2.722355080,0,0,0,0,0,0,0,0,0,0
2.722750520,1,0,0,0,0,0,0,0,0,0
2.722750760,1,0,1,0,0,0,0,0,0,0
2.722753520,0,0,1,0,0,0,0,0,0,0
2.722753600,0,0,0,0,0,0,0,0,0,0
2.723149040,1,0,0,0,0,0,0,0,0,0
2.723149280,1,0,1,0,0,0,0,0,0,0
2.723152040,0,0,1,0,0,0,0,0,0,0
2.723152120,0,0,0,0,0,0,0,0,0,0
2.723547600,1,0,0,0,0,0,0,0,0,0
2.723547840,1,0,1,0,0,0,0,0,0,0
2.723550560,0,0,1,0,0,0,0,0,0,0
2.723550640,0,0,0,0,0,0,0,0,0,0
2.723986000,1,0,0,0,0,0,0,0,0,0
2.723986240,1,0,1,0,0,0,0,0,0,0
2.723989000,0,0,1,0,0,0,0,0,0,0
2.723989080,0,0,0,0,0,0,0,0,0,0
2.724384560,1,0,0,0,0,0,0,0,0,0
2.724384800,1,0,1,0,0,0,0,0,0,0
2.724387520,0,0,1,0,0,0,0,0,0,0
2.724387640,0,0,0,0,0,0,0,0,0,0
2.724783080,1,0,0,0,0,0,0,0,0,0
2.724783360,1,0,1,0,0,0,0,0,0,0
2.724786080,0,0,1,0,0,0,0,0,0,0
2.724786160,0,0,0,0,0,0,0,0,0,0
2.725181640,1,0,0,0,0,0,0,0,0,0
2.725181880,1,0,1,0,0,0,0,0,0,0
2.725184600,0,0,1,0,0,0,0,0,0,0
2.725184680,0,0,0,0,0,0,0,0,0,0
2.725580160,1,0,0,0,0,0,0,0,0,0
2.725580400,1,0,1,0,0,0,0,0,0,0
2.725583120,0,0,1,0,0,0,0,0,0,0
2.725583200,0,0,0,0,0,0,0,0,0,0
2.725978680,1,0,0,0,0,0,0,0,0,0
2.725978920,1,0,1,0,0,0,0,0,0,0
2.725981680,0,0,1,0,0,0,0,0,0,0
2.725981760,0,0,0,0,0,0,0,0,0,0
2.726377200,1,0,0,0,0,0,0,0,0,0
2.726377440,1,0,1,0,0,0,0,0,0,0
2.726380200,0,0,1,0,0,0,0,0,0,0
2.726380280,0,0,0,0,0,0,0,0,0,0
2.726815560,1,0,0,0,0,0,0,0,0,0
2.726815840,1,0,1,0,0,0,0,0,0,0
2.726818560,0,0,1,0,0,0,0,0,0,0
2.726818640,0,0,0,0,0,0,0,0,0,0
2.727214120,1,0,0,0,0,0,0,0,0,0
2.727214360,1,0,1,0,0,0,0,0,0,0
2.727217080,0,0,1,0,0,0,0,0,0,0
2.727217160,0,0,0,0,0,0,0,0,0,0
2.727612640,1,0,0,0,0,0,0,0,0,0
2.727612880,1,0,1,0,0,0,0,0,0,0
2.727615640,0,0,1,0,0,0,0,0,0,0
2.727615720,0,0,0,0,0,0,0,0,0,0
2.728011240,1,0,0,0,0,0,0,0,0,0
2.728011480,1,0,1,0,0,0,0,0,0,0
2.728014200,0,0,1,0,0,0,0,0,0,0
2.728014280,0,0,0,0,0,0,0,0,0,0
2.728409800,1,0,0,0,0,0,0,0,0,0
2.728410040,1,0,1,0,0,0,0,0,0,0
2.728412760,0,0,1,0,0,0,0,0,0,0
2.728412880,0,0,0,0,0,0,0,0,0,0
2.728808360,1,0,0,0,0,0,0,0,0,0
2.728808600,1,0,1,0,0,0,0,0,0,0
2.728811360,0,0,1,0,0,0,0,0,0,0
2.728811440,0,0,0,0,0,0,0,0,0,0
2.729206920,1,0,0,0,0,0,0,0,0,0
2.729207200,1,0,1,0,0,0,0,0,0,0
2.729209920,0,0,1,0,0,0,0,0,0,0
2.729210000,0,0,0,0,0,0,0,0,0,0
2.729645320,1,0,0,0,0,0,0,0,0,0
2.729645600,1,0,1,0,0,0,0,0,0,0
2.729648320,0,0,1,0,0,0,0,0,0,0
2.729648400,0,0,0,0,0,0,0,0,0,0
2.730043880,1,0,0,0,0,0,0,0,0,0
2.730044120,1,0,1,0,0,0,0,0,0,0
2.730046880,0,0,1,0,0,0,0,0,0,0
2.730046960,0,0,0,0,0,0,0,0,0,0
2.730442440,1,0,0,0,0,0,0,0,0,0
2.730442680,1,0,1,0,0,0,0,0,0,0
2.730445440,0,0,1,0,0,0,0,0,0,0
2.730445520,0,0,0,0,0,0,0,0,0,0
2.730840960,1,0,0,0,0,0,0,0,0,0
2.730841240,1,0,1,0,0,0,0,0,0,0
2.730843960,0,0,1,0,0,0,0,0,0,0
2.730844040,0,0,0,0,0,0,0,0,0,0
2.731239520,1,0,0,0,0,0,0,0,0,0
2.731239760,1,0,1,0,0,0,0,0,0,0
2.731242520,0,0,1,0,0,0,0,0,0,0
2.731242600,0,0,0,0,0,0,0,0,0,0
2.731638080,1,0,0,0,0,0,0,0,0,0
2.731638320,1,0,1,0,0,0,0,0,0,0
2.731641080,0,0,1,0,0,0,0,0,0,0
2.731641160,0,0,0,0,0,0,0,0,0,0
2.731777320,0,0,0,0,0,0,0,0,1,0
2.732040200,1,0,0,0,0,0,0,0,1,0
2.732040480,1,0,1,0,0,0,0,0,1,0
2.732043200,0,0,1,0,0,0,0,0,1,0
2.732043280,0,0,0,0,0,0,0,0,1,0
2.732438760,1,0,0,0,0,0,0,0,1,0
2.732439000,1,0,1,0,0,0,0,0,1,0
2.732441760,0,0,1,0,0,0,0,0,1,0
2.732441840,0,0,0,0,0,0,0,0,1,0
2.732877200,1,0,0,0,0,0,0,0,1,0
2.732877440,1,0,1,0,0,0,0,0,1,0
2.732880200,0,0,1,0,0,0,0,0,1,0
2.732880280,0,0,0,0,0,0,0,0,1,0
2.733275760,1,0,0,0,0,0,0,0,1,0
2.733276000,1,0,1,0,0,0,0,0,1,0
2.733278720,0,0,1,0,0,0,0,0,1,0
2.733278800,0,0,0,0,0,0,0,0,1,0
2.733491320,0,0,0,0,0,0,0,0,0,0
2.733674280,1,0,0,0,0,0,0,0,0,0
2.733674560,1,0,1,0,0,0,0,0,0,0
2.733677280,0,0,1,0,0,0,0,0,0,0
2.733677360,0,0,0,0,0,0,0,0,0,0
2.734072840,1,0,0,0,0,0,0,0,0,0
2.734073120,1,0,1,0,0,0,0,0,0,0
2.734075840,0,0,1,0,0,0,0,0,0,0
2.734075920,0,0,0,0,0,0,0,0,0,0
2.734471400,1,0,0,0,0,0,0,0,0,0
2.734471680,1,0,1,0,0,0,0,0,0,0
2.734474400,0,0,1,0,0,0,0,0,0,0
2.734474480,0,0,0,0,0,0,0,0,0,0
2.734869960,1,0,0,0,0,0,0,0,0,0
2.734870200,1,0,1,0,0,0,0,0,0,0
2.734872960,0,0,1,0,0,0,0,0,0,0
2.734873040,0,0,0,0,0,0,0,0,0,0
2.735268520,1,0,0,0,0,0,0,0,0,0
2.735268760,1,0,1,0,0,0,0,0,0,0
2.735271520,0,0,1,0,0,0,0,0,0,0
2.735271600,0,0,0,0,0,0,0,0,0,0
2.735706920,1,0,0,0,0,0,0,0,0,0
2.735707160,1,0,1,0,0,0,0,0,0,0
2.735709920,0,0,1,0,0,0,0,0,0,0
2.735710000,0,0,0,0,0,0,0,0,0,0
2.736105480,1,0,0,0,0,0,0,0,0,0
2.736105720,1,0,1,0,0,0,0,0,0,0
2.736108480,0,0,1,0,0,0,0,0,0,0
2.736108560,0,0,0,0,0,0,0,0,0,0
2.736504040,1,0,0,0,0,0,0,0,0,0
2.736504320,1,0,1,0,0,0,0,0,0,0
2.736507040,0,0,1,0,0,0,0,0,0,0
2.736507120,0,0,0,0,0,0,0,0,0,0
2.736942480,1,0,0,0,0,0,0,0,0,0
2.736942720,1,0,1,0,0,0,0,0,0,0
2.736945480,0,0,1,0,0,0,0,0,0,0
2.736945560,0,0,0,0,0,0,0,0,0,0
2.737341080,1,0,0,0,0,0,0,0,0,0
2.737341320,1,0,1,0,0,0,0,0,0,0
2.737344040,0,0,1,0,0,0,0,0,0,0
2.737344120,0,0,0,0,0,0,0,0,0,0
2.737739640,1,0,0,0,0,0,0,0,0,0
2.737739920,1,0,1,0,0,0,0,0,0,0
2.737742640,0,0,1,0,0,0,0,0,0,0
2.737742720,0,0,0,0,0,0,0,0,0,0
2.738138240,1,0,0,0,0,0,0,0,0,0
2.738138480,1,0,1,0,0,0,0,0,0,0
2.738141240,0,0,1,0,0,0,0,0,0,0
2.738141320,0,0,0,0,0,0,0,0,0,0
2.738536800,1,0,0,0,0,0,0,0,0,0
2.738537040,1,0,1,0,0,0,0,0,0,0
2.738539760,0,0,1,0,0,0,0,0,0,0
2.738539880,0,0,0,0,0,0,0,0,0,0
2.738975240,1,0,0,0,0,0,0,0,0,0
2.738975480,1,0,1,0,0,0,0,0,0,0
2.738978200,0,0,1,0,0,0,0,0,0,0
2.738978280,0,0,0,0,0,0,0,0,0,0
2.739373840,1,0,0,0,0,0,0,0,0,0
2.739374080,1,0,1,0,0,0,0,0,0,0
2.739376800,0,0,1,0,0,0,0,0,0,0
2.739376920,0,0,0,0,0,0,0,0,0,0
2.739772400,1,0,0,0,0,0,0,0,0,0
2.739772640,1,0,1,0,0,0,0,0,0,0
2.739775400,0,0,1,0,0,0,0,0,0,0
2.739775480,0,0,0,0,0,0,0,0,0,0
2.740171000,1,0,0,0,0,0,0,0,0,0
2.740171240,1,0,1,0,0,0,0,0,0,0
2.740173960,0,0,1,0,0,0,0,0,0,0
2.740174040,0,0,0,0,0,0,0,0,0,0
2.740569560,1,0,0,0,0,0,0,0,0,0
2.740569800,1,0,1,0,0,0,0,0,0,0
2.740572520,0,0,1,0,0,0,0,0,0,0
2.740572600,0,0,0,0,0,0,0,0,0,0
2.740968080,1,0,0,0,0,0,0,0,0,0
2.740968320,1,0,1,0,0,0,0,0,0,0
2.740971080,0,0,1,0,0,0,0,0,0,0
2.740971160,0,0,0,0,0,0,0,0,0,0
2.741366640,1,0,0,0,0,0,0,0,0,0
2.741366880,1,0,1,0,0,0,0,0,0,0
2.741369600,0,0,1,0,0,0,0,0,0,0
2.741369680,0,0,0,0,0,0,0,0,0,0
2.741805000,1,0,0,0,0,0,0,0,0,0
2.741805280,1,0,1,0,0,0,0,0,0,0
2.741808000,0,0,1,0,0,0,0,0,0,0
2.741808080,0,0,0,0,0,0,0,0,0,0
2.742203560,1,0,0,0,0,0,0,0,0,0
2.742203800,1,0,1,0,0,0,0,0,0,0
2.742206560,0,0,1,0,0,0,0,0,0,0
2.742206640,0,0,0,0,0,0,0,0,0,0
2.742602120,1,0,0,0,0,0,0,0,0,0
2.742602360,1,0,1,0,0,0,0,0,0,0
2.742605120,0,0,1,0,0,0,0,0,0,0
2.742605200,0,0,0,0,0,0,0,0,0,0
2.743000680,1,0,0,0,0,0,0,0,0,0
2.743000920,1,0,1,0,0,0,0,0,0,0
2.743003640,0,0,1,0,0,0,0,0,0,0
2.743003760,0,0,0,0,0,0,0,0,0,0
2.743399240,1,0,0,0,0,0,0,0,0,0
2.743399480,1,0,1,0,0,0,0,0,0,0
2.743402200,0,0,1,0,0,0,0,0,0,0
2.743402280,0,0,0,0,0,0,0,0,0,0
2.743797760,1,0,0,0,0,0,0,0,0,0
2.743798040,1,0,1,0,0,0,0,0,0,0
2.743800760,0,0,1,0,0,0,0,0,0,0
2.743800840,0,0,0,0,0,0,0,0,0,0
